address,status,device,interface,is_primary
192.168.86.201,active,lon-core-sw2,Management1,true
192.168.86.202,active,lon-core-sw3,Management1,true
192.168.86.203,active,lon-core-sw4,Management1,true
192.168.86.204,active,par-core-sw1,Management1,true
192.168.86.205,active,par-core-sw2,Management1,true
192.168.86.206,active,par-core-sw3,Management1,true
192.168.86.207,active,par-core-sw4,Management1,true
192.168.86.208,active,nyc-core-sw1,Management1,true
192.168.86.209,active,nyc-core-sw2,Management1,true
192.168.86.210,active,nyc-core-sw3,Management1,true
192.168.86.211,active,nyc-core-sw4,Management1,true
192.168.86.212,active,tok-core-sw1,Management1,true
192.168.86.213,active,tok-core-sw2,Management1,true
192.168.86.214,active,tok-core-sw3,Management1,true
192.168.86.215,active,tok-core-sw4,Management1,true
